Author,Journal,Count
Naukowiec_1,Advances in Experimental Medicine and Biology,1
Naukowiec_1,Bioinformatics,1
Naukowiec_1,BMC Bioinformatics,1
Naukowiec_1,Current Protein and Peptide Science,1
Naukowiec_1,International Journal of Pharma Medicine and Biological Sciences,1
Naukowiec_1,Journal of Computational Biology,2
Naukowiec_1,Molecular Physics,1
Naukowiec_1,"Proteins : structure, function and bioinformatics",2
Naukowiec_1,"World Academy of Science, Engineering and Technology",1
Naukowiec_2,Human Brain Mapping,1
Naukowiec_3,Acta Physica Polonica. B,1
Naukowiec_3,Behavioral Sciences,1
Naukowiec_3,Biomedical Engineering-Biomedizinische Technik,1
Naukowiec_3,Cognitive Computation,1
Naukowiec_3,Frontiers in Computational Neuroscience,2
Naukowiec_3,Frontiers in Neuroscience,2
Naukowiec_3,IEEE Access,2
Naukowiec_3,IEEE Journal of Biomedical and Health Informatics,1
Naukowiec_3,IEEE Transactions on Cybernetics,2
Naukowiec_3,IEEE Transactions on Neural Systems and Rehabilitation Engineering,1
Naukowiec_3,International Journal of Neural Systems,1
Naukowiec_3,Journal of Medical and Biological Engineering,1
Naukowiec_3,Journal of Neural Engineering,2
Naukowiec_3,Journal of Neuroscience Methods,1
Naukowiec_3,Neural Networks,1
Naukowiec_3,Sensors,1
Naukowiec_4,Cognitive Neurodynamics,1
Naukowiec_4,Computer Science,2
Naukowiec_4,"Journal of Education, Health and Sport",1
Naukowiec_4,Lecture Notes in Computer Science,1
Naukowiec_4,Neural Networks,1
Naukowiec_5,Acta Physica Polonica. B,2
Naukowiec_5,American Philosophical Association Newsletter,1
Naukowiec_5,Bio-Algorithms and Med-Systems,1
Naukowiec_5,Cognitive Neurodynamics,2
Naukowiec_5,Cognitive Systems Research,1
Naukowiec_5,Computational Intelligence and Neuroscience,2
Naukowiec_5,Computer Science,2
Naukowiec_5,Control and Cybernetics,2
Naukowiec_5,Current Pharmaceutical Design,1
Naukowiec_5,European Biophysics Journal,1
Naukowiec_5,European Files,1
Naukowiec_5,Human Brain Mapping,1
Naukowiec_5,IFIP Advances in Information and Communication Technology,1
Naukowiec_5,Journal of Artificial General Intelligence,2
Naukowiec_5,"Journal of Education, Health and Sport",3
Naukowiec_5,Journal of Immunological Methods,1
Naukowiec_5,"Journal of Signal Processing Systems for Signal, Image and Video Technology",1
Naukowiec_5,Kognitywistyka i Media w Edukacji,4
Naukowiec_5,Lecture Notes in Computer Science,27
Naukowiec_5,Lingwistyka Stosowana,1
Naukowiec_5,Neural Information Processing - Letters and Reviews,1
Naukowiec_5,Neural Networks,4
Naukowiec_5,Neurocomputing,1
Naukowiec_5,Nowa Audiofonologia,1
Naukowiec_5,Philosophies,1
Naukowiec_5,Physics of Life Reviews,1
Naukowiec_5,Polskie Forum Psychologiczne,1
Naukowiec_5,Scientia et Fides,1
Naukowiec_5,Słyszę (Warszawa),1
Naukowiec_5,Zagadnienia Naukoznawstwa,1
Naukowiec_6,International Journal of Information Technology and Intelligent Computing,1
Naukowiec_6,International Journal of Pharma Medicine and Biological Sciences,1
Naukowiec_6,Knowledge-Based Systems,1
Naukowiec_6,Lecture Notes in Computer Science,5
Naukowiec_7,Lecture Notes in Computer Science,9
Naukowiec_8,Advances in Intelligent Systems and Computing,1
Naukowiec_8,Collection of Czechoslovak Chemical Communications,1
Naukowiec_8,International Journal of Applied Mathematics and Computer Science,2
Naukowiec_8,International Journal of Information Technology and Intelligent Computing,1
Naukowiec_8,Journal of Chemical Physics,2
Naukowiec_8,Journal of Network and Information Security,1
Naukowiec_8,Knowledge-Based Systems,1
Naukowiec_8,Lecture Notes in Computer Science,8
Naukowiec_8,Theoretical Chemistry Accounts,1
Naukowiec_9,Acta Physica Polonica. B,1
Naukowiec_10,Lingwistyka Stosowana,1
Naukowiec_11,Lingwistyka Stosowana,1
Naukowiec_11,"Polish Journal of Aviation Medicine, Bioengineering and Psychology",1
Naukowiec_12,Advances in Experimental Medicine and Biology,1
Naukowiec_12,Artificial Intelligence in Medicine,1
Naukowiec_12,Autophagy,1
Naukowiec_12,Bioinformatics,1
Naukowiec_12,Biophysical Journal,1
Naukowiec_12,Blood : journal of the American Society of Hematology,1
Naukowiec_12,BMC Bioinformatics,3
Naukowiec_12,Cancer Cell,2
Naukowiec_12,Cellular Physiology and Biochemistry,1
Naukowiec_12,Chemistry & Biology,1
Naukowiec_12,Clinical Canser Research,1
Naukowiec_12,Computer Science,1
Naukowiec_12,Current Pharmaceutical Design,1
Naukowiec_12,Current Protein and Peptide Science,1
Naukowiec_12,Human Genomics,1
Naukowiec_12,Journal of Computational Biology,2
Naukowiec_12,Journal of Computational Chemistry,1
Naukowiec_12,Mathematical Programming. Series B,1
Naukowiec_12,Molecular Physics,2
Naukowiec_12,Molecular Vision,1
Naukowiec_12,Pharmacogenomics,1
Naukowiec_12,Proceedings of the National Academy of Sciences of the United States of America,1
