Journal,Humanities,Technology,Medical,Farm,Social,Science,Religion,Arts
2d materials,0,6,1,0,0,2,0,0
3 biotech,0,4,2,2,0,1,0,0
3c empresa,0,1,0,0,1,0,0,0
3c tecnologia,0,4,0,0,0,0,0,0
3c tic,0,2,0,0,0,0,0,0
3d printing and additive manufacturing,0,6,0,0,0,1,0,0
3d research,0,5,0,0,0,0,0,0
3l language linguistics literature the southeast asian journal of english language studies,2,0,0,0,1,0,0,0
452 f revista de teoria de la literatura y literatura comparada,1,0,0,0,0,0,0,0
4or a quarterly journal of operations research,1,1,0,0,3,1,0,0
a & a practice,0,1,2,1,0,0,0,0
a + u architecture and urbanism,2,1,0,0,1,0,0,0
a&c revista de direito administrativo & constitucional,0,0,0,0,1,0,0,0
aaa arbeiten aus anglistik und amerikanistik,2,0,0,0,0,0,0,0
aaca digital,1,1,0,0,0,0,0,0
aacn advanced critical care,0,1,3,1,0,0,0,0
aapg bulletin,0,1,0,0,1,1,0,0
aaps journal,0,0,2,1,0,0,0,0
aaps pharmscitech,0,2,3,0,0,0,0,0
aatcc journal of research,0,3,1,0,0,1,0,0
aatcc review,0,4,1,0,0,0,0,0
ab imperio studies of new imperial history and nationalism in the post soviet space,2,0,0,0,1,0,0,0
abacus a journal of accounting finance and business studies,0,0,0,0,2,0,0,0
abakos,0,1,0,0,0,0,0,0
abanico veterinario,0,0,0,1,0,0,0,0
abcd arquivos brasileiros de cirurgia digestiva brazilian archives of digestive surgery,0,1,2,0,0,0,0,0
abdominal radiology,0,1,2,0,0,0,0,0
abe journal,0,1,0,0,0,0,0,0
abhandlungen aus dem mathematischen seminar der universitat hamburg,0,0,0,0,0,1,0,0
aboriginal history,2,0,0,0,1,0,0,0
aboriginal policy studies,1,0,0,0,2,0,0,0
abriu estudos de textualidade do brasil galicia e portugal,3,0,0,0,0,0,0,0
abstracts of papers of the american chemical society,0,0,1,1,0,1,0,0
academia y virtualidad,0,0,0,0,2,0,0,0
academia revista latinoamericana de administracion,0,0,0,0,2,0,0,0
academic emergency medicine,0,1,3,1,0,0,0,0
academic journal of modern philology,3,0,0,0,0,0,0,0
academic medicine,1,1,3,0,0,0,0,0
academic pathology,0,1,2,1,0,0,0,0
academic pediatrics,0,0,2,0,0,0,0,0
academic psychiatry,0,1,3,0,0,0,0,0
academic radiology,0,1,2,1,0,0,0,0
academy of management annals,0,0,1,0,1,0,0,0
academy of management discoveries,0,0,0,0,1,0,0,0
academy of management journal,0,1,0,0,1,0,0,0
academy of management learning & education,0,0,0,0,2,0,0,0
academy of management perspectives,0,0,0,0,1,0,0,0
academy of management review,0,1,0,0,1,0,0,0
acadiensis,1,0,0,0,1,0,0,0
acarologia,0,0,1,3,0,1,0,0
accident analysis and prevention,0,3,3,0,3,0,0,0
accion psicologica,0,0,0,0,1,0,0,0
accountability in research policies and quality assurance,1,1,2,0,2,0,0,0
accounting and business research,0,0,0,0,1,0,0,0
accounting and finance,0,0,0,0,2,0,0,0
accounting auditing & accountability journal,0,0,0,0,1,0,0,0
accounting economics and law a convivium,0,0,0,0,3,0,0,0
accounting education,0,0,0,0,2,0,0,0
accounting forum,0,0,0,0,1,0,0,0
accounting historians journal,0,0,0,0,1,0,0,0
accounting history,1,0,0,0,1,0,0,0
accounting history review,1,0,0,0,1,0,0,0
accounting horizons,0,0,0,0,1,0,0,0
accounting in europe,0,0,0,0,1,0,0,0
accounting organizations and society,0,0,0,0,2,0,0,0
accounting perspectives,0,0,0,0,1,0,0,0
accounting research journal,0,0,0,0,1,0,0,0
accounting review,0,0,0,0,2,0,0,0
accounts of chemical research,0,2,2,0,0,1,0,0
accreditation and quality assurance,0,3,2,2,1,0,0,0
ace architecture city and environment,0,2,0,0,1,0,0,0
acesso livre,0,0,0,0,1,0,0,0
acg case reports journal,0,1,2,0,0,1,0,0
aci materials journal,0,6,1,0,0,1,0,0
aci structural journal,0,5,1,0,0,1,0,0
acm communications in computer algebra,0,3,0,0,0,2,0,0
acm computing surveys,0,2,0,0,0,1,0,0
acm journal of data and information quality,0,2,0,0,1,1,0,0
acm journal on computing and cultural heritage,4,3,0,0,2,1,0,0
acm journal on emerging technologies in computing systems,0,3,0,0,1,1,0,0
acm sigcomm computer communication review,0,1,0,0,1,1,0,0
acm transactions on accessible computing,0,2,0,0,0,1,0,0
acm transactions on algorithms,0,1,0,0,0,2,0,0
acm transactions on applied perception,0,3,0,0,1,1,0,0
acm transactions on architecture and code optimization,0,2,0,0,0,1,0,0
acm transactions on asian and low resource language information processing,0,2,0,0,0,1,0,0
acm transactions on autonomous and adaptive systems,0,4,0,0,0,1,0,0
acm transactions on computation theory,0,1,0,0,0,1,0,0
acm transactions on computational logic,1,3,0,0,1,1,0,0
acm transactions on computer systems,0,2,0,0,0,1,0,0
acm transactions on computer human interaction,0,4,0,0,3,1,0,0
acm transactions on computing education,0,1,0,0,0,1,0,0
acm transactions on cyber physical systems,0,4,0,0,0,1,0,0
acm transactions on database systems,0,2,0,0,1,1,0,0
acm transactions on design automation of electronic systems,0,4,0,0,0,1,0,0
acm transactions on economics and computation,0,2,0,0,2,1,0,0
acm transactions on embedded computing systems,0,3,0,0,0,1,0,0
acm transactions on graphics,0,2,0,0,0,1,0,0
acm transactions on information systems,0,3,0,0,1,1,0,0
acm transactions on intelligent systems and technology,0,6,0,0,0,1,0,0
acm transactions on interactive intelligent systems,0,5,0,0,1,1,0,0
acm transactions on internet technology,0,2,0,0,0,1,0,0
acm transactions on knowledge discovery from data,0,4,0,0,1,1,0,0
acm transactions on management information systems,0,2,0,0,2,1,0,0
acm transactions on mathematical software,0,4,0,0,0,1,0,0
acm transactions on modeling and computer simulation,0,8,0,0,1,2,0,0
acm transactions on modeling and performance evaluation of computing systems,0,3,0,0,0,1,0,0
acm transactions on multimedia computing communications and applications,0,4,0,0,0,1,0,0
acm transactions on parallel computing,0,2,0,0,0,1,0,0
acm transactions on privacy and security,0,3,0,0,0,1,0,0
acm transactions on programming languages and systems,0,1,0,0,0,1,0,0
acm transactions on reconfigurable technology and systems,0,3,0,0,0,1,0,0
acm transactions on sensor networks,0,2,0,0,0,1,0,0
acm transactions on software engineering and methodology,0,2,0,0,1,1,0,0
acm transactions on spatial algorithms and systems,0,3,0,0,1,2,0,0
acm transactions on storage,0,1,0,0,0,1,0,0
acm transactions on the web,0,1,0,0,0,1,0,0
acme an international e journal for critical geographies,0,1,0,0,1,0,0,0
acme annali della facolta di studi umanistici dell universita degli studi di milano,4,0,0,0,2,0,0,0
acoustical physics,0,4,1,0,0,2,0,0
acoustical science and technology,0,6,1,0,0,2,0,0
acoustics australia,0,5,0,0,0,1,0,0
acque sotterranee italian journal of groundwater,0,1,0,0,0,1,0,0
across languages and cultures,2,1,0,0,0,0,0,0
acs applied materials & interfaces,0,4,1,1,0,1,0,0
acs biomaterials science & engineering,0,4,3,0,0,2,0,0
acs catalysis,0,3,1,0,0,2,0,0
acs central science,0,3,1,0,0,1,0,0
acs chemical biology,0,2,2,1,0,2,0,0
acs chemical neuroscience,0,1,3,1,0,2,0,0
acs combinatorial science,0,1,3,1,0,1,0,0
acs earth and space chemistry,0,0,0,0,0,3,0,0
acs energy letters,0,2,0,1,0,1,0,0
acs infectious diseases,0,1,3,1,0,2,0,0
acs macro letters,0,4,1,1,0,1,0,0
acs medicinal chemistry letters,0,1,3,1,0,2,0,0
acs nano,0,6,1,2,0,4,0,0
acs omega,0,3,1,1,0,1,0,0
acs photonics,0,3,2,1,0,3,0,0
acs sensors,0,5,1,1,0,3,0,0
acs sustainable chemistry & engineering,0,5,1,2,0,1,0,0
acs synthetic biology,0,2,3,1,0,2,0,0
acsms health & fitness journal,0,1,3,0,0,0,0,0
acta acustica united with acustica,1,5,1,0,0,2,0,0
acta adriatica,0,1,0,0,0,2,0,0
acta agriculturae scandinavica section a animal science,0,0,0,2,0,0,0,0
acta agriculturae scandinavica section b soil and plant science,0,1,0,1,0,0,0,0
acta alimentaria,0,0,2,3,0,0,0,0
acta amazonica,0,0,1,2,0,1,0,0
acta anaesthesiologica belgica,0,1,3,1,0,0,0,0
acta anaesthesiologica scandinavica,0,1,3,0,0,0,0,0
acta analytica international periodical for philosophy in the analytical tradition,1,0,0,0,0,0,0,0
acta angiologica,0,1,3,0,0,0,0,0
acta applicandae mathematicae,0,3,0,0,0,2,0,0
acta archaeologica,1,1,0,0,0,1,0,0
acta arithmetica,0,0,0,0,0,1,0,0
acta astronautica,0,1,0,0,0,1,0,0
acta astronomica,0,0,0,0,0,1,0,0
acta balneologica,0,1,3,0,0,0,0,0
acta baltico slavica,4,0,0,0,1,0,0,0
acta biochimica et biophysica sinica,0,1,3,1,0,2,0,0
acta biochimica polonica,0,3,4,5,0,2,0,0
acta bioclinica,0,1,0,0,0,0,0,0
acta bioethica,1,0,3,0,1,0,0,0
acta biologica colombiana,0,1,0,2,0,1,0,0
acta biologica cracoviensia series botanica,0,1,1,3,0,1,0,0
acta biologica hungarica,0,1,3,3,0,1,0,0
acta biomaterialia,0,3,3,1,0,2,0,0
acta bioquimica clinica latinoamericana,0,1,1,0,0,0,0,0
acta biotheoretica,0,1,3,0,0,1,0,0
acta borealia,3,0,0,0,2,0,0,0
acta botanica brasilica,0,0,1,1,0,1,0,0
acta botanica croatica,0,0,1,1,0,1,0,0
acta botanica mexicana,0,0,1,1,0,1,0,0
acta cardiologica,0,1,3,0,0,1,0,0
acta cardiologica sinica,0,1,2,0,0,0,0,0
acta carsologica,0,1,0,0,0,1,0,0
acta chemica iasi,0,0,0,0,0,1,0,0
acta chimica sinica,0,1,1,1,0,1,0,0
