Author,Journal,Count
Adamczak,Advances in Experimental Medicine and Biology,1
Adamczak,Bioinformatics,1
Adamczak,BMC Bioinformatics,1
Adamczak,Current Protein and Peptide Science,1
Adamczak,International Journal of Pharma Medicine and Biological Sciences,1
Adamczak,Journal of Computational Biology,2
Adamczak,Molecular Physics,1
Adamczak,"Proteins : structure, function and bioinformatics",2
Adamczak,"World Academy of Science, Engineering and Technology",1
Bonna,Human Brain Mapping,1
Cichocki,Acta Physica Polonica. B,1
Cichocki,Behavioral Sciences,1
Cichocki,Biomedical Engineering-Biomedizinische Technik,1
Cichocki,Cognitive Computation,1
Cichocki,Frontiers in Computational Neuroscience,2
Cichocki,Frontiers in Neuroscience,2
Cichocki,IEEE Access,2
Cichocki,IEEE Journal of Biomedical and Health Informatics,1
Cichocki,IEEE Transactions on Cybernetics,2
Cichocki,IEEE Transactions on Neural Systems and Rehabilitation Engineering,1
Cichocki,International Journal of Neural Systems,1
Cichocki,Journal of Medical and Biological Engineering,1
Cichocki,Journal of Neural Engineering,2
Cichocki,Journal of Neuroscience Methods,1
Cichocki,Neural Networks,1
Cichocki,Sensors,1
Dobosz,Cognitive Neurodynamics,1
Dobosz,Computer Science,2
Dobosz,"Journal of Education, Health and Sport",1
Dobosz,Lecture Notes in Computer Science,1
Dobosz,Neural Networks,1
Duch,Acta Physica Polonica. B,2
Duch,American Philosophical Association Newsletter,1
Duch,Bio-Algorithms and Med-Systems,1
Duch,Cognitive Neurodynamics,2
Duch,Cognitive Systems Research,1
Duch,Computational Intelligence and Neuroscience,2
Duch,Computer Science,2
Duch,Control and Cybernetics,2
Duch,Current Pharmaceutical Design,1
Duch,European Biophysics Journal,1
Duch,European Files,1
Duch,Human Brain Mapping,1
Duch,IFIP Advances in Information and Communication Technology,1
Duch,Journal of Artificial General Intelligence,2
Duch,"Journal of Education, Health and Sport",3
Duch,Journal of Immunological Methods,1
Duch,"Journal of Signal Processing Systems for Signal, Image and Video Technology",1
Duch,Kognitywistyka i Media w Edukacji,4
Duch,Lecture Notes in Computer Science,27
Duch,Lingwistyka Stosowana,1
Duch,Neural Information Processing - Letters and Reviews,1
Duch,Neural Networks,4
Duch,Neurocomputing,1
Duch,Nowa Audiofonologia,1
Duch,Philosophies,1
Duch,Physics of Life Reviews,1
Duch,Polskie Forum Psychologiczne,1
Duch,Scientia et Fides,1
Duch,Słyszę (Warszawa),1
Duch,Zagadnienia Naukoznawstwa,1
Grąbczewski,International Journal of Information Technology and Intelligent Computing,1
Grąbczewski,International Journal of Pharma Medicine and Biological Sciences,1
Grąbczewski,Knowledge-Based Systems,1
Grąbczewski,Lecture Notes in Computer Science,5
Grochowski,Lecture Notes in Computer Science,9
Jankowski,Advances in Intelligent Systems and Computing,1
Jankowski,Collection of Czechoslovak Chemical Communications,1
Jankowski,International Journal of Applied Mathematics and Computer Science,2
Jankowski,International Journal of Information Technology and Intelligent Computing,1
Jankowski,Journal of Chemical Physics,2
Jankowski,Journal of Network and Information Security,1
Jankowski,Knowledge-Based Systems,1
Jankowski,Lecture Notes in Computer Science,8
Jankowski,Theoretical Chemistry Accounts,1
Komorowski,Acta Physica Polonica. B,1
Linowiecki,Lingwistyka Stosowana,1
Matulewski,Lingwistyka Stosowana,1
Matulewski,"Polish Journal of Aviation Medicine, Bioengineering and Psychology",1
Meller,Advances in Experimental Medicine and Biology,1
Meller,Artificial Intelligence in Medicine,1
Meller,Autophagy,1
Meller,Bioinformatics,1
Meller,Biophysical Journal,1
Meller,Blood : journal of the American Society of Hematology,1
Meller,BMC Bioinformatics,3
Meller,Cancer Cell,2
Meller,Cellular Physiology and Biochemistry,1
Meller,Chemistry & Biology,1
Meller,Clinical Canser Research,1
Meller,Computer Science,1
Meller,Current Pharmaceutical Design,1
Meller,Current Protein and Peptide Science,1
Meller,Human Genomics,1
Meller,Journal of Computational Biology,2
Meller,Journal of Computational Chemistry,1
Meller,Mathematical Programming. Series B,1
Meller,Molecular Physics,2
Meller,Molecular Vision,1
Meller,Pharmacogenomics,1
Meller,Proceedings of the National Academy of Sciences of the United States of America,1
Meller,Protein Science,1
Meller,"Proteins : structure, function and bioinformatics",3
Meller,TASK Quarterly,1
Meller,Trends in Molecular Medicine,1
Meller,Virology,1
Piotrowski,Acta Physica Polonica. B,1
Piotrowski,IEEE Transactions on Signal Processing,1
Piotrowski,"Journal of Education, Health and Sport",1
Piotrowski,Journal of the Franklin Institute,2
Piotrowski,Lecture Notes in Computer Science,2
Sokolov,Bulletin of the Polish Academy of Sciences. Technical Sciences,1
Sokolov,Communications in Computer and Information Science,1
Sokolov,"Edukacja, Technika, Informatyka",1
Sokolov,Geophysical Research Abstracts,1
Sokolov,International Journal on Advances in Intelligent Systems,1
Sokolov,"Journal of Education, Health and Sport",9
Sokolov,Journal of Health Sciences,5
Sokolov,"Komp t""rni Nauki i Tehnologii",1
Sokolov,Legea şi Viaţa,1
Sokolov,Naftogazova Energetika,2
Sokolov,"Testuvannâ   Mon toring v Osv t ",1
Sokolov,Urologíâ,1
Sokolov,Vestnik Har'kovskogo Nacional'nogo Avtomobil'no-Dorožnogo Universiteta,1
