Id,Name
101,archeologia
102,filozofia
103,historia
104,językoznawstwo
105,literaturoznawstwo
106,nauki o kulturze i religii
107,nauki o sztuce
201,architektura i urbanistyka
202,"automatyka, elektronika i elektrotechnika"
203,informatyka techniczna i telekomunikacja
204,inżynieria biomedyczna
205,inżynieria chemiczna
206,inżynieria lądowa i transport
207,inżynieria materiałowa
208,inżynieria mechaniczna
209,"inżynieria środowiska, górnictwo i energetyka"
301,nauki farmaceutyczne
302,nauki medyczne
303,nauki o kulturze fizycznej
304,nauki o zdrowiu
401,nauki leśne
402,rolnictwo i ogrodnictwo
403,technologia żywności i żywienia
404,weterynaria
405,zootechnika i rybactwo
501,ekonomia i finanse
502,geografia społecznoekonomiczna i gospodarka przestrzenna
503,nauki o bezpieczeństwie
504,nauki o komunikacji społecznej i mediach
505,nauki o polityce i administracji
506,nauki o zarządzaniu i jakości
507,nauki prawne
508,nauki socjologiczne
509,pedagogika
510,prawo kanoniczne
511,psychologia
601,astronomia
602,informatyka
603,matematyka
604,nauki biologiczne
605,nauki chemiczne
606,nauki fizyczne
607,nauki o Ziemi i środowisku
701,nauki teologiczne
801,sztuki filmowe i teatralne
802,sztuki muzyczne
803,sztuki plastyczne i konserwacja dzieł sztuki
