Title1,Title2,DisciplinesString
2D Materials,2D Materials,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki chemiczne;nauki fizyczne"
3 Biotech,3 Biotech,"architektura i urbanistyka;inżynieria biomedyczna;inżynieria chemiczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;zootechnika i rybactwo;nauki biologiczne"
3C Empresa,,architektura i urbanistyka;nauki o zarządzaniu i jakości
3c Tecnologia,,"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
3C Tic,,architektura i urbanistyka;inżynieria biomedyczna
3D Printing and Additive Manufacturing,3D Printing and Additive Manufacturing,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki chemiczne"
3D Research,3D Research,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna"
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,"3L: Language, Linguistics, Literature",językoznawstwo;literaturoznawstwo;nauki socjologiczne
452 F-Revista de Teoria de la Literatura y Literatura Comparada,,literaturoznawstwo;literaturoznawstwo
4OR-A Quarterly Journal of Operations Research,4OR,nauki o kulturze i religii;informatyka techniczna i telekomunikacja;ekonomia i finanse;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości;informatyka
A & A Practice,A & A case reports,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria
A + U-ARCHITECTURE AND URBANISM,A + U-Architecture and Urbanism,nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna
A&C-Revista de Direito Administrativo & Constitucional,,nauki prawne;nauki prawne
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,"AAA, Arbeiten aus Anglistik und Amerikanistik",językoznawstwo;literaturoznawstwo
AACA Digital,,nauki o sztuce;inżynieria biomedyczna
AACN Advanced Critical Care,AACN Advanced Critical Care,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
AAPG BULLETIN,AAPG Bulletin,inżynieria lądowa i transport;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o Ziemi i środowisku
