Title1,Title2,DisciplineIdsString
2D Materials,2D Materials,201 202 204 206 207 208 301 605 606
3 Biotech,3 Biotech,201 204 205 209 301 304 402 405 604
3C Empresa,,201 506
3c Tecnologia,,204 206 208 209
3C Tic,,201 204
3D Printing and Additive Manufacturing,3D Printing and Additive Manufacturing,201 202 204 205 207 208 605
3D Research,3D Research,201 202 203 204 208
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,"3L: Language, Linguistics, Literature",104 105 508
452 F-Revista de Teoria de la Literatura y Literatura Comparada,,105
4OR-A Quarterly Journal of Operations Research,4OR,106 203 501 504 506 602
A & A Practice,A & A case reports,204 302 304 404
A + U-ARCHITECTURE AND URBANISM,A + U-Architecture and Urbanism,106 107 201 502
A&C-Revista de Direito Administrativo & Constitucional,,507
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,"AAA, Arbeiten aus Anglistik und Amerikanistik",104 105
AACA Digital,,107 204
AACN Advanced Critical Care,AACN Advanced Critical Care,204 301 302 304 404
AAPG BULLETIN,AAPG Bulletin,206 502 607
AAPS Journal,AAPS Journal,301 302 404
AAPS PHARMSCITECH,AAPS PharmSciTech,204 207 301 302 304
AATCC Journal of Research,AATCC Journal of Research,204 207 208 301 605
AATCC REVIEW,,204 206 207 208 301
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,Ab Imperio,103 106 505
Abacus-A Journal of Accounting Finance and Business Studies,Abacus,501 506
Abakos,,204
Abanico Veterinario,,405
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,Arquivos brasileiros de cirurgia digestiva : ABCD = Brazilian archives of digestive surgery,204 302 304
Abdominal Radiology,Abdominal Radiology,204 302 304
ABE Journal,,201
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,603
Aboriginal History,,103 106 508
Aboriginal Policy Studies,,106 505 508
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,,103 106 107
ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,301 404 605
Academia y Virtualidad,,508 509
Academia-Revista Latinoamericana de Administracion,Academia Revista Latinoamericana de Administracion,505 507
ACADEMIC EMERGENCY MEDICINE,Academic Emergency Medicine,204 301 302 304 404
Academic Journal of Modern Philology,,104 105 106
ACADEMIC MEDICINE,Academic Medicine,106 204 301 302 304
Academic Pathology,Academic Pathology,204 302 304 404
Academic Pediatrics,Academic Pediatrics,302 304
ACADEMIC PSYCHIATRY,Academic Psychiatry,204 301 302 304
ACADEMIC RADIOLOGY,Academic Radiology,204 302 304 404
Academy of Management Annals,Academy of Management Annals,303 506
Academy of Management Discoveries,,506
ACADEMY OF MANAGEMENT JOURNAL,Academy of Management Journal,208 506
Academy of Management Learning & Education,Academy of Management Learning and Education,506 509
Academy of Management Perspectives,Academy of Management Perspectives,506
ACADEMY OF MANAGEMENT REVIEW,Academy of Management Review,208 506
ACADIENSIS,Acadiensis,103 503
ACAROLOGIA,Acarologia,304 401 404 405 604
ACCIDENT ANALYSIS AND PREVENTION,Accident Analysis and Prevention,204 206 208 301 302 304 502 503 508
Accion Psicologica,,511
Accountability in Research-Policies and Quality Assurance,Accountability in Research,102 204 301 304 504 508
ACCOUNTING AND BUSINESS RESEARCH,Accounting and Business Research,506
Accounting and Finance,Accounting and Finance,501 506
Accounting Auditing & Accountability Journal,"Accounting, Auditing and Accountability Journal",506
Accounting Economics and Law-A Convivium,"Accounting, Economics and Law",501 506 507
Accounting Education,Accounting Education,506 509
Accounting Forum,Accounting Forum,506
Accounting Historians Journal,Accounting Historians Journal,506
Accounting History,Accounting History,103 506
Accounting History Review,Accounting History Review,103 506
Accounting Horizons,Accounting Horizons,506
Accounting in Europe,Accounting in Europe,506
ACCOUNTING ORGANIZATIONS AND SOCIETY,"Accounting, Organizations and Society",506 508
Accounting Perspectives,Accounting Perspectives,506
Accounting Research Journal,Accounting Research Journal,506
ACCOUNTING REVIEW,Accounting Review,501 506
ACCOUNTS OF CHEMICAL RESEARCH,Accounts of Chemical Research,204 207 301 302 605
ACCREDITATION AND QUALITY ASSURANCE,Accreditation and Quality Assurance,204 206 208 301 304 402 405 506
ACE-Architecture City and Environment,"Architecture, City and Environment",201 209 502
Acesso Livre,,504
ACG Case Reports Journal,ACG Case Reports Journal,204 302 304 605
ACI MATERIALS JOURNAL,ACI Materials Journal,204 205 206 207 208 209 301 605
ACI STRUCTURAL JOURNAL,ACI Structural Journal,204 206 207 208 209 301 605
ACM Communications in Computer Algebra,ACM Communications in Computer Algebra,202 203 208 602 603
ACM COMPUTING SURVEYS,ACM Computing Surveys,203 204 602
ACM Journal of Data and Information Quality,Journal of Data and Information Quality,203 204 506 602
ACM Journal on Computing and Cultural Heritage,Journal of Computing and Cultural Heritage,101 103 106 107 201 203 206 506 508 602
ACM Journal on Emerging Technologies in Computing Systems,ACM Journal on Emerging Technologies in Computing Systems,203 204 207 506 602
ACM SIGCOMM Computer Communication Review,Computer Communication Review,203 506 602
ACM Transactions on Accessible Computing,ACM Transactions on Accessible Computing,203 204 602
ACM Transactions on Algorithms,ACM Transactions on Algorithms,203 602 603
ACM Transactions on Applied Perception,ACM Transactions on Applied Perception,203 204 208 511 602
ACM Transactions on Architecture and Code Optimization,Transactions on Architecture and Code Optimization,202 203 602
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM Transactions on Asian and Low-Resource Language Information Processing,203 208 602
ACM Transactions on Autonomous and Adaptive Systems,ACM Transactions on Autonomous and Adaptive Systems,202 203 204 208 602
ACM Transactions on Computation Theory,ACM Transactions on Computation Theory,203 602
ACM Transactions on Computational Logic,ACM Transactions on Computational Logic,102 202 203 204 504 602
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM Transactions on Computer Systems,203 204 602
ACM Transactions on Computer-Human Interaction,ACM Transactions on Computer-Human Interaction,201 202 203 204 504 506 508 602
ACM Transactions on Computing Education,ACM Transactions on Computing Education,203 602
ACM Transactions on Cyber-Physical Systems,,202 203 204 208 602
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM Transactions on Database Systems,203 204 506 602
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM Transactions on Design Automation of Electronic Systems,202 203 204 208 602
ACM Transactions on Economics and Computation,ACM Transactions on Economics and Computation,202 203 501 506 602
ACM Transactions on Embedded Computing Systems,Transactions on Embedded Computing Systems,202 203 204 602
ACM TRANSACTIONS ON GRAPHICS,ACM Transactions on Graphics,202 203 602
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM Transactions on Information Systems,201 203 204 506 602
ACM Transactions on Intelligent Systems and Technology,ACM Transactions on Intelligent Systems and Technology,201 202 203 204 206 208 602
