Title1,Title2,Humanities,Tech,Medical,Farm,Social,Science,Religion,Arts
2D Materials,2D Materials,0,6,1,0,0,2,0,0
3 Biotech,3 Biotech,0,4,2,2,0,1,0,0
3C Empresa,,0,1,0,0,1,0,0,0
3c Tecnologia,,0,4,0,0,0,0,0,0
3C Tic,,0,2,0,0,0,0,0,0
3D Printing and Additive Manufacturing,3D Printing and Additive Manufacturing,0,6,0,0,0,1,0,0
3D Research,3D Research,0,5,0,0,0,0,0,0
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,"3L: Language, Linguistics, Literature",2,0,0,0,1,0,0,0
452 F-Revista de Teoria de la Literatura y Literatura Comparada,,1,0,0,0,0,0,0,0
4OR-A Quarterly Journal of Operations Research,4OR,1,1,0,0,3,1,0,0
A & A Practice,A & A case reports,0,1,2,1,0,0,0,0
A + U-ARCHITECTURE AND URBANISM,A + U-Architecture and Urbanism,2,1,0,0,1,0,0,0
A&C-Revista de Direito Administrativo & Constitucional,,0,0,0,0,1,0,0,0
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,"AAA, Arbeiten aus Anglistik und Amerikanistik",2,0,0,0,0,0,0,0
AACA Digital,,1,1,0,0,0,0,0,0
AACN Advanced Critical Care,AACN Advanced Critical Care,0,1,3,1,0,0,0,0
AAPG BULLETIN,AAPG Bulletin,0,1,0,0,1,1,0,0
AAPS Journal,AAPS Journal,0,0,2,1,0,0,0,0
AAPS PHARMSCITECH,AAPS PharmSciTech,0,2,3,0,0,0,0,0
AATCC Journal of Research,AATCC Journal of Research,0,3,1,0,0,1,0,0
AATCC REVIEW,,0,4,1,0,0,0,0,0
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,Ab Imperio,2,0,0,0,1,0,0,0
Abacus-A Journal of Accounting Finance and Business Studies,Abacus,0,0,0,0,2,0,0,0
Abakos,,0,1,0,0,0,0,0,0
Abanico Veterinario,,0,0,0,1,0,0,0,0
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,Arquivos brasileiros de cirurgia digestiva : ABCD = Brazilian archives of digestive surgery,0,1,2,0,0,0,0,0
Abdominal Radiology,Abdominal Radiology,0,1,2,0,0,0,0,0
ABE Journal,,0,1,0,0,0,0,0,0
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,0,0,0,0,0,1,0,0
Aboriginal History,,2,0,0,0,1,0,0,0
Aboriginal Policy Studies,,1,0,0,0,2,0,0,0
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,,3,0,0,0,0,0,0,0
ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,0,0,1,1,0,1,0,0
Academia y Virtualidad,,0,0,0,0,2,0,0,0
Academia-Revista Latinoamericana de Administracion,Academia Revista Latinoamericana de Administracion,0,0,0,0,2,0,0,0
ACADEMIC EMERGENCY MEDICINE,Academic Emergency Medicine,0,1,3,1,0,0,0,0
Academic Journal of Modern Philology,,3,0,0,0,0,0,0,0
ACADEMIC MEDICINE,Academic Medicine,1,1,3,0,0,0,0,0
Academic Pathology,Academic Pathology,0,1,2,1,0,0,0,0
Academic Pediatrics,Academic Pediatrics,0,0,2,0,0,0,0,0
ACADEMIC PSYCHIATRY,Academic Psychiatry,0,1,3,0,0,0,0,0
ACADEMIC RADIOLOGY,Academic Radiology,0,1,2,1,0,0,0,0
Academy of Management Annals,Academy of Management Annals,0,0,1,0,1,0,0,0
Academy of Management Discoveries,,0,0,0,0,1,0,0,0
ACADEMY OF MANAGEMENT JOURNAL,Academy of Management Journal,0,1,0,0,1,0,0,0
Academy of Management Learning & Education,Academy of Management Learning and Education,0,0,0,0,2,0,0,0
Academy of Management Perspectives,Academy of Management Perspectives,0,0,0,0,1,0,0,0
ACADEMY OF MANAGEMENT REVIEW,Academy of Management Review,0,1,0,0,1,0,0,0
ACADIENSIS,Acadiensis,1,0,0,0,1,0,0,0
ACAROLOGIA,Acarologia,0,0,1,3,0,1,0,0
ACCIDENT ANALYSIS AND PREVENTION,Accident Analysis and Prevention,0,3,3,0,3,0,0,0
Accion Psicologica,,0,0,0,0,1,0,0,0
Accountability in Research-Policies and Quality Assurance,Accountability in Research,1,1,2,0,2,0,0,0
ACCOUNTING AND BUSINESS RESEARCH,Accounting and Business Research,0,0,0,0,1,0,0,0
Accounting and Finance,Accounting and Finance,0,0,0,0,2,0,0,0
Accounting Auditing & Accountability Journal,"Accounting, Auditing and Accountability Journal",0,0,0,0,1,0,0,0
Accounting Economics and Law-A Convivium,"Accounting, Economics and Law",0,0,0,0,3,0,0,0
Accounting Education,Accounting Education,0,0,0,0,2,0,0,0
Accounting Forum,Accounting Forum,0,0,0,0,1,0,0,0
Accounting Historians Journal,Accounting Historians Journal,0,0,0,0,1,0,0,0
Accounting History,Accounting History,1,0,0,0,1,0,0,0
Accounting History Review,Accounting History Review,1,0,0,0,1,0,0,0
Accounting Horizons,Accounting Horizons,0,0,0,0,1,0,0,0
Accounting in Europe,Accounting in Europe,0,0,0,0,1,0,0,0
ACCOUNTING ORGANIZATIONS AND SOCIETY,"Accounting, Organizations and Society",0,0,0,0,2,0,0,0
Accounting Perspectives,Accounting Perspectives,0,0,0,0,1,0,0,0
Accounting Research Journal,Accounting Research Journal,0,0,0,0,1,0,0,0
ACCOUNTING REVIEW,Accounting Review,0,0,0,0,2,0,0,0
ACCOUNTS OF CHEMICAL RESEARCH,Accounts of Chemical Research,0,2,2,0,0,1,0,0
ACCREDITATION AND QUALITY ASSURANCE,Accreditation and Quality Assurance,0,3,2,2,1,0,0,0
ACE-Architecture City and Environment,"Architecture, City and Environment",0,2,0,0,1,0,0,0
Acesso Livre,,0,0,0,0,1,0,0,0
ACG Case Reports Journal,ACG Case Reports Journal,0,1,2,0,0,1,0,0
ACI MATERIALS JOURNAL,ACI Materials Journal,0,6,1,0,0,1,0,0
ACI STRUCTURAL JOURNAL,ACI Structural Journal,0,5,1,0,0,1,0,0
ACM Communications in Computer Algebra,ACM Communications in Computer Algebra,0,3,0,0,0,2,0,0
ACM COMPUTING SURVEYS,ACM Computing Surveys,0,2,0,0,0,1,0,0
ACM Journal of Data and Information Quality,Journal of Data and Information Quality,0,2,0,0,1,1,0,0
ACM Journal on Computing and Cultural Heritage,Journal of Computing and Cultural Heritage,4,3,0,0,2,1,0,0
ACM Journal on Emerging Technologies in Computing Systems,ACM Journal on Emerging Technologies in Computing Systems,0,3,0,0,1,1,0,0
ACM SIGCOMM Computer Communication Review,Computer Communication Review,0,1,0,0,1,1,0,0
ACM Transactions on Accessible Computing,ACM Transactions on Accessible Computing,0,2,0,0,0,1,0,0
ACM Transactions on Algorithms,ACM Transactions on Algorithms,0,1,0,0,0,2,0,0
ACM Transactions on Applied Perception,ACM Transactions on Applied Perception,0,3,0,0,1,1,0,0
ACM Transactions on Architecture and Code Optimization,Transactions on Architecture and Code Optimization,0,2,0,0,0,1,0,0
