Author,Journal
Adamczak,Advances in Experimental Medicine and Biology
Adamczak,Bioinformatics
Adamczak,BMC Bioinformatics
Adamczak,Current Protein and Peptide Science
Adamczak,International Journal of Pharma Medicine and Biological Sciences
Adamczak,Journal of Computational Biology
Adamczak,Journal of Computational Biology
Adamczak,Molecular Physics
Adamczak,"Proteins : structure, function and bioinformatics"
Adamczak,"Proteins : structure, function and bioinformatics"
Adamczak,"World Academy of Science, Engineering and Technology"
Bonna,Human Brain Mapping
Cichocki,Acta Physica Polonica. B
Cichocki,Behavioral Sciences
Cichocki,Biomedical Engineering-Biomedizinische Technik
Cichocki,Cognitive Computation
Cichocki,Frontiers in Computational Neuroscience
Cichocki,Frontiers in Computational Neuroscience
Cichocki,Frontiers in Neuroscience
Cichocki,Frontiers in Neuroscience
Cichocki,IEEE Access
Cichocki,IEEE Access
Cichocki,IEEE Journal of Biomedical and Health Informatics
Cichocki,IEEE Transactions on Cybernetics
Cichocki,IEEE Transactions on Cybernetics
Cichocki,IEEE Transactions on Neural Systems and Rehabilitation Engineering
Cichocki,International Journal of Neural Systems
Cichocki,Journal of Medical and Biological Engineering
Cichocki,Journal of Neural Engineering
Cichocki,Journal of Neural Engineering
Cichocki,Journal of Neuroscience Methods
Cichocki,Neural Networks
Cichocki,Sensors
Dobosz,Cognitive Neurodynamics
Dobosz,Computer Science
Dobosz,Computer Science
Dobosz,"Journal of Education, Health and Sport"
Dobosz,Lecture Notes in Computer Science
Dobosz,Neural Networks
Duch,Acta Physica Polonica. B
Duch,Acta Physica Polonica. B
Duch,American Philosophical Association Newsletter
Duch,Bio-Algorithms and Med-Systems
Duch,Cognitive Neurodynamics
Duch,Cognitive Neurodynamics
Duch,Cognitive Systems Research
Duch,Computational Intelligence and Neuroscience
Duch,Computational Intelligence and Neuroscience
Duch,Computer Science
Duch,Computer Science
Duch,Control and Cybernetics
Duch,Control and Cybernetics
Duch,Current Pharmaceutical Design
Duch,European Biophysics Journal
Duch,European Files
Duch,Human Brain Mapping
Duch,IFIP Advances in Information and Communication Technology
Duch,Journal of Artificial General Intelligence
Duch,Journal of Artificial General Intelligence
Duch,"Journal of Education, Health and Sport"
Duch,"Journal of Education, Health and Sport"
Duch,"Journal of Education, Health and Sport"
Duch,Journal of Immunological Methods
Duch,"Journal of Signal Processing Systems for Signal, Image and Video Technology"
Duch,Kognitywistyka i Media w Edukacji
Duch,Kognitywistyka i Media w Edukacji
Duch,Kognitywistyka i Media w Edukacji
Duch,Kognitywistyka i Media w Edukacji
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
Duch,Lecture Notes in Computer Science
