Title,Discipline1,Discipline2,More
.psd Photoshop magazyn dla grafików komputerowych,,,
?konomičeskij B?lleten' (Minsk),,,
?rbok for Rana,,,
?storičnij Arh?v,,,
?vropejs'k? Stud?? ? Pravo,,,
45 Minut toruński przegląd oświatowy,Pedagogika,,
"6, Quai d'Orléans lettre de la Société Historique",Literaturoznawstwo,,
Abhandlungen der Geologischen Bundesanstalt,Geologia,,
Absolwent biuletyn Stowarzyszenia Absolwentów UMK,Nauki społeczne,,
Abstract and Applied Analysis,Matematyka,Matematyka stosowana,
Academia (ed. ang.),,,
Academia (ed. pol.),Nauka,,
Accounts of Chemical Research,Chemia,,
Accreditation and Quality Assurance,Chemia analityczna,,
ACS Applied Materials & Interfaces,Materiałoznawstwo,,
ACS Catalysis,Chemia fizyczna,,
ACS Nano,Chemia,Materiałoznawstwo,Nanotechnologia
Acta Academiae Agriculturae ac Technicae,,,
Acta Acustica United Acustica,,,
Acta Agraria et Silvestria. Series Agraria,Rolnictwo,,
Acta Alimentaria,Dietetyka,Technologia żywności i żywienia,Odżywianie
Acta Antiqua Academiae Scientiarum Hungaricae,Filologia,Archeologia,
Acta Applicandae Mathematicae,Matematyka,,
Acta Biologica Cracoviensia. Series Botanica,Biochemia,Botanika,Biotechnologia;Farmacja;Ochrona środowiska;Biologia
Acta Biologica Cracoviensia. Series Zoologia,Biologia,Biotechnologia,Weterynaria;Farmacja;Zoologia
Acta Biologica Hungarica,Biologia,,
Acta Biologica Iugoslavica. A,Botanika,Leśnictwo,
"Acta Bio-Optica et Informatica Medica, Inżynieria Biomedyczna",Biofizyka,Biocybernetyka,Biotechnologia;Kultura fizyczna i sport;Zdrowie i bezpieczeństwo publiczne;Medycyna
Acta Biotechnologica,Biotechnologia,Mikrobiologia,
Acta Chemica Scandinavica,Biochemia,Biologia,Chemia
Acta Chimica Slovenica,Chemia,,
Acta Classica Universitatis Scientiarum Debreceniensis,Historia i archiwistyka,Filologia,
Acta Crystallographica. Section B - STRUCTURAL SCIENCE,Chemia,Krystalografia,
Acta Crystallographica. Section C - CRYSTAL STRUCTURE COMMUNICATIONS,Krystalografia,,
Acta Crystallographica. Section D - BIOLOGICAL CRYSTALLOGRAPHY,Biochemia,Biologia,Biofizyka;Krystalografia;Biologia molekularna
Acta Crystallographica. Section E - STRUCTURE REPORTS ONLINE,Krystalografia,,
Acta Endoscopica Polona,Medycyna,Chirurgia,
Acta et Commentationes Universitatis Tartuensis.,Matematyka,Fizyka,Medycyna
Acta Germanica German Studies in Africa,Literaturoznawstwo,,
Acta Humanitarica Universitatis Saulensis,Filologia,,
Acta Hydrobiologica,Hydrobiologia,,
Acta IMEKO: the e-Journal of the International Measurement Confederation (IMEKO).,Inżynieria,Fizyka,Astronomia
Acta Informatica,Informatyka,Systemy informacyjne,
Acta Iuridica Olomucensis,Prawo,,
Acta Juridica Hungarica,Prawo,,
Acta Metallurgica Slovaca,Metalurgia,Inżynieria materiałowa,Inżynieria metalurgiczna;Metale i stopy
Acta Microbiologica Polonica,Mikrobiologia,,
Acta Musei Moraviae. Scientiae Sociales,Archeologia,Nauki społeczne,
Acta Neurologica Belgica,Neurologia kliniczna,Neuronauka,
Acta Oecologica - INTERNATIONAL JOURNAL OF ECOLOGY,Ekologia,,
Acta Oeconomica,Ekonomia,,
Acta of the International Symposia on Metal Complexes,Chemia,,
Acta Ophthalmologica,Okulistyka,,
Acta Physica Hungarica,Fizyka jądrowa,,
Acta Physica Polonica. A,Fizyka,,
Acta Physica Polonica. B,Fizyka,,
Acta Physiologica Polonica,Fizjologia,,
Acta Poloniae Pharmaceutica - Drug Research,Farmacja,,
Acta Polymerica,Polimery,,
Acta Praehistorica et Archaeologica,Archeologia,,
Acta Radiologica,Medycyna,Radiologia,Medycyna nuklearna
Acta Scientiarum Mathematicarum,Matematyka,,
Acta Scientiarum Polonorum. Silvarum Colendarum,Leśnictwo,,
Acta Theriologica,Zoologia,,
Acta Tropica,Medycyna,Parasitologia,Medycyna tropikalna
Acta Universitatis Carolinae. Iuridica,Prawo,,
Acta Universitatis Carolinae. Philosophica et Historica,Filozofia,Etnologia,Historia i archiwistyka
Acta Universitatis Lodziensis. Folia Biochimica et Biophysica,Biochemia,Biofizyka,
Acta Universitatis Lodziensis. Folia Biologica et Oecologica,Biologia,Ekologia,"Biofizyka;Mikrobiologia, Ochrona środowiska;"
Acta Universitatis Lodziensis. Folia Geographica Physica,Geografia,Geofizyka,Geologia;
Acta Universitatis Lodziensis. Folia Geographica Socio-Oeconomica,Historia i archiwistyka,Socjologia,Ekonomia;Geografia;Architektura
Acta Universitatis Lodziensis. Folia Litteraria Polonica,Literaturoznawstwo,Dziennikarstwo i media,
Acta Universitatis Lodziensis. Folia Litteraria Rossica,Kulturoznawstwo,Literaturoznawstwo,
Acta Universitatis Lodziensis. Folia Philosophica,Filozofia,,
Acta Universitatis Lodziensis. Folia Sozologica,Socjologia,Komunikacja społeczna,Dziennikarstwo i media;Nauki polityczne
Acta Universitatis Lodziensis. Kształcenie Polonistyczne Cudzoziemców,Językoznawstwo,Kulturoznawstwo,Dziennikarstwo i media;Pedagogika
Acta Universitatis Lodziensis. Turyzm,Turystyka,,
Acta Universitatis Nicolai Copernici.,,,
Acta Universitatis Nicolai Copernici. Archeologia,Archeologia,,
Acta Universitatis Nicolai Copernici. Bibliologia,Bibliotekoznawstwo i informacja naukowa,,
Acta Universitatis Nicolai Copernici. Biologia,Biologia,,
Acta Universitatis Nicolai Copernici. Ekonomia,Ekonomia,,
Acta Universitatis Nicolai Copernici. English Studies,Językoznawstwo,Literaturoznawstwo,
Acta Universitatis Nicolai Copernici. Filologia Germańska,Filologia,,
Acta Universitatis Nicolai Copernici. Filologia Polska,Filologia,,
Acta Universitatis Nicolai Copernici. Filologia Rosyjska,Filologia,,
Acta Universitatis Nicolai Copernici. Filozofia,Filozofia,,
Acta Universitatis Nicolai Copernici. Geografia,Geografia,Nauki przyrodnicze,
Acta Universitatis Nicolai Copernici. Historia,Historia i archiwistyka,,
Acta Universitatis Nicolai Copernici. Logika,Logika,,
Acta Universitatis Nicolai Copernici. Nauki Polityczne,Nauki polityczne,,
Acta Universitatis Nicolai Copernici. Pedagogika,Pedagogika,,
Acta Universitatis Nicolai Copernici. Prace Limnologiczne,Hydrobiologia,Limnologia,
Acta Universitatis Nicolai Copernici. Prawo,Prawo,,
Acta Universitatis Nicolai Copernici. Socjologia,Socjologia,,
Acta Universitatis Nicolai Copernici. Studia Rosjoznawcze,Geografia,Stosunki międzynarodowe,
Acta Universitatis Nicolai Copernici. Studia Slavica,Filologia,,
Acta Universitatis Nicolai Copernici. Zarządzanie,Organizacja i zarządzanie,Ekonomia,
Acta Universitatis Palackianae Olomucensis.,,,
Acta Universitatis Wratislaviensis. Anglica,Filologia,,
Acta Universitatis Wratislaviensis. Antiquitas,Filozofia,Religioznawstwo i teologia,Historia i archiwistyka
Acta Universitatis Wratislaviensis. Classica,Filologia,,
Acta Universitatis Wratislaviensis. Germanica,Filologia,,
Acta Universitatis Wratislaviensis. Historia,Historia i archiwistyka,,
Acta Universitatis Wratislaviensis. Historia Sztuki,Sztuka,Historia i archiwistyka,
Acta Universitatis Wratislaviensis. Literatura i Kultura Popularna,Literaturoznawstwo,Kulturoznawstwo,
Acta Universitatis Wratislaviensis. Oblicza Komunikacji,Komunikacja społeczna,,
Acta Universitatis Wratislaviensis. Prace Botaniczne,Botanika,,
Acta Universitatis Wratislaviensis. Prace Filozoficzne,Filozofia,,
Acta Universitatis Wratislaviensis. Prace Geologiczno-Mineralogiczne,Geologia,Minearologia,
Acta Universitatis Wratislaviensis. Prace Instytutu Geograficznego,Geografia,,
Acta Universitatis Wratislaviensis. Prace Kulturoznawcze,Kulturoznawstwo,,
Acta Universitatis Wratislaviensis. Prace Literackie,Literaturoznawstwo,,
Acta Universitatis Wratislaviensis. Prace Pedagogiczne,Pedagogika,,
Acta Universitatis Wratislaviensis. Prace Psychologiczne,Psychologia,,
Acta Universitatis Wratislaviensis. Prace Zoologiczne,Zoologia,,
Acta Universitatis Wratislaviensis. Slavica,Filologia,Literaturoznawstwo,
Acta Universitatis Wratislaviensis. Studia nad Faszyzmem i Zbrodniami Hitlerowskimi.,Historia i archiwistyka,,
Acta Zoologica,Zoologia,,
Acta Zoologica Bulgarica,Zoologia,,
Ad Alta (Hradec Králové),Nauki społeczne,,
Ad Americam: Journal of American studies,Nauki polityczne,Historia i archiwistyka,Socjologia;Prawo;Kulturoznawstwo
Adler Zeitschrift für Genealogie und Heraldik,Genealogia,Historia i archiwistyka,
"Administracja, Prawo, Zarządzanie",Administracja,Prawo,Organizacja i zarządzanie
Administracja. Teoria-Dydaktyka-Praktyka,Administracja,Prawo,
Adsorption journal of the International Adsorption Society,Chemia fizyczna,Inżynieria chemiczna,
Adsorption Science and Technology,Chemia,Inżynieria chemiczna,Chemia
Adult Education and Development,Edukacja,Edukacja dorosłych,
Advanced Materials,Chemia fizyczna,Nanotechnologia,Fizyka stosowana;Fizyka materii skondensowanej;Chemia;Materiałoznawstwo
"Advanced Science, Engineering and Medicine",Fizyka,Chemia,Medycyna;Matematyka;Informatyka;Rolnictwo
Advances in Applied Probability,Matematyka,Statystyka i prawdopodobieństwo,
